SITE	DATE	TIME	TEMP	SERIAL
NAPL	3/31/02	2:35:00	11.51	526486
NAPL	3/31/02	2:45:00	11.51	526486
NAPL	3/31/02	2:55:00	11.51	526486
NAPL	3/31/02	3:05:00	11.51	526486
NAPL	3/31/02	3:15:00	11.51	526486
NAPL	3/31/02	3:25:00	11.51	526486
NAPL	3/31/02	3:35:00	11.6	526486
NAPL	3/31/02	3:45:00	11.51	526486
NAPL	3/31/02	3:55:00	11.51	526486
NAPL	3/31/02	4:05:00	11.51	526486
NAPL	3/31/02	4:15:00	11.51	526486
NAPL	3/31/02	4:25:00	11.6	526486
NAPL	3/31/02	4:35:00	11.6	526486
NAPL	3/31/02	4:45:00	11.6	526486
NAPL	3/31/02	4:55:00	11.6	526486
NAPL	3/31/02	5:05:00	11.6	526486
NAPL	3/31/02	5:15:00	11.6	526486
NAPL	3/31/02	5:25:00	11.6	526486
NAPL	3/31/02	5:35:00	11.6	526486
NAPL	3/31/02	5:45:00	11.6	526486
NAPL	3/31/02	5:55:00	11.6	526486
NAPL	3/31/02	6:05:00	11.6	526486
NAPL	3/31/02	6:15:00	11.6	526486
NAPL	3/31/02	6:25:00	11.6	526486
NAPL	3/31/02	6:35:00	11.6	526486
NAPL	3/31/02	6:45:00	11.6	526486
NAPL	3/31/02	6:55:00	11.6	526486
NAPL	3/31/02	7:05:00	11.6	526486
NAPL	3/31/02	7:15:00	11.6	526486
NAPL	3/31/02	7:25:00	11.6	526486
NAPL	3/31/02	7:35:00	11.6	526486
NAPL	3/31/02	7:45:00	11.68	526486
NAPL	3/31/02	7:55:00	11.68	526486
NAPL	3/31/02	8:05:00	11.6	526486
NAPL	3/31/02	8:15:00	11.6	526486
NAPL	3/31/02	8:25:00	11.6	526486
NAPL	3/31/02	8:35:00	11.6	526486
NAPL	3/31/02	8:45:00	11.6	526486
NAPL	3/31/02	8:55:00	11.6	526486
NAPL	3/31/02	9:05:00	11.6	526486
NAPL	3/31/02	9:15:00	11.51	526486
