Date	"Time, GMT+00:00"	"Temp, °C()"
7/14/2010	16:45:00	13.016
7/14/2010	17:15:00	13.088
7/14/2010	17:45:00	13.353
7/14/2010	18:15:00	14.457
7/14/2010	18:45:00	14.936
7/14/2010	19:15:00	15.079
7/14/2010	19:45:00	15.031
7/14/2010	20:15:00	15.199
7/14/2010	20:45:00	15.676
7/14/2010	21:15:00	16.177
7/14/2010	21:45:00	16.344
7/14/2010	22:15:00	16.082
7/14/2010	22:45:00	16.201
7/14/2010	23:15:00	16.296
7/14/2010	23:45:00	16.296
7/15/2010	0:15:00	16.368
7/15/2010	0:45:00	16.225
7/15/2010	1:15:00	16.153
7/15/2010	1:45:00	16.058
7/15/2010	2:15:00	16.01
7/15/2010	2:45:00	16.106
7/15/2010	3:15:00	15.485
7/15/2010	3:45:00	16.058
7/15/2010	4:15:00	15.748
7/15/2010	4:45:00	15.079
7/15/2010	5:15:00	14.721
7/15/2010	5:45:00	14.768
7/15/2010	6:15:00	14.314
7/15/2010	6:45:00	13.714
7/15/2010	7:15:00	14.17
7/15/2010	7:45:00	14.218
7/15/2010	8:15:00	13.786
7/15/2010	8:45:00	13.546
7/15/2010	9:15:00	13.954
7/15/2010	9:45:00	13.906
7/15/2010	10:15:00	14.242
7/15/2010	10:45:00	13.546
7/15/2010	11:15:00	14.337
7/15/2010	11:45:00	14.433
7/15/2010	12:15:00	14.17
7/15/2010	12:45:00	13.834
7/15/2010	13:15:00	14.002
7/15/2010	13:45:00	15.843
7/15/2010	14:15:00	14.721
7/15/2010	14:45:00	15.461
7/15/2010	15:15:00	15.724
7/15/2010	15:45:00	15.7
7/15/2010	16:15:00	15.127
7/15/2010	16:45:00	16.034
7/15/2010	17:15:00	16.582
7/15/2010	17:45:00	16.796
7/15/2010	18:15:00	16.773
7/15/2010	18:45:00	16.868
7/15/2010	19:15:00	16.868
7/15/2010	19:45:00	16.892
7/15/2010	20:15:00	16.868
7/15/2010	20:45:00	16.915
7/15/2010	21:15:00	16.915
7/15/2010	21:45:00	16.939
7/15/2010	22:15:00	16.844
7/15/2010	22:45:00	16.654
7/15/2010	23:15:00	16.558
7/15/2010	23:45:00	16.606
7/16/2010	0:15:00	16.773
7/16/2010	0:45:00	16.82
7/16/2010	1:15:00	16.725
7/16/2010	1:45:00	16.701
7/16/2010	2:15:00	16.582
7/16/2010	2:45:00	16.701
7/16/2010	3:15:00	16.487
7/16/2010	3:45:00	16.296
7/16/2010	4:15:00	16.225
7/16/2010	4:45:00	15.939
7/16/2010	5:15:00	15.414
7/16/2010	5:45:00	15.652
7/16/2010	6:15:00	15.581
7/16/2010	6:45:00	15.438
7/16/2010	7:15:00	15.342
7/16/2010	7:45:00	15.676
7/16/2010	8:15:00	16.082
7/16/2010	8:45:00	16.01
7/16/2010	9:15:00	15.724
7/16/2010	9:45:00	15.676
7/16/2010	10:15:00	15.772
7/16/2010	10:45:00	15.796
7/16/2010	11:15:00	16.01
7/16/2010	11:45:00	16.106
7/16/2010	12:15:00	15.986
7/16/2010	12:45:00	15.509
7/16/2010	13:15:00	15.867
7/16/2010	13:45:00	15.819
7/16/2010	14:15:00	15.867
7/16/2010	14:45:00	15.939
7/16/2010	15:15:00	16.177
7/16/2010	15:45:00	16.201
7/16/2010	16:15:00	16.249
7/16/2010	16:45:00	16.177
7/16/2010	17:15:00	16.129
7/16/2010	17:45:00	16.201
7/16/2010	18:15:00	16.558
7/16/2010	18:45:00	16.511
7/16/2010	19:15:00	16.415
7/16/2010	19:45:00	16.368
7/16/2010	20:15:00	16.129
7/16/2010	20:45:00	16.034
7/16/2010	21:15:00	16.129
7/16/2010	21:45:00	16.153
7/16/2010	22:15:00	16.01
7/16/2010	22:45:00	15.986
7/16/2010	23:15:00	15.915
7/16/2010	23:45:00	15.748
7/17/2010	0:15:00	15.891
7/17/2010	0:45:00	15.796
7/17/2010	1:15:00	15.676
7/17/2010	1:45:00	15.676
7/17/2010	2:15:00	15.676
7/17/2010	2:45:00	15.7
7/17/2010	3:15:00	15.796
7/17/2010	3:45:00	15.748
7/17/2010	4:15:00	15.748
7/17/2010	4:45:00	15.7
7/17/2010	5:15:00	15.772
7/17/2010	5:45:00	15.772
7/17/2010	6:15:00	15.796
7/17/2010	6:45:00	15.748
7/17/2010	7:15:00	15.796
7/17/2010	7:45:00	15.867
7/17/2010	8:15:00	15.891
7/17/2010	8:45:00	15.7
7/17/2010	9:15:00	15.819
7/17/2010	9:45:00	15.247
7/17/2010	10:15:00	15.342
7/17/2010	10:45:00	15.39
7/17/2010	11:15:00	15.199
7/17/2010	11:45:00	14.912
7/17/2010	12:15:00	14.218
7/17/2010	12:45:00	14.074
7/17/2010	13:15:00	13.473
7/17/2010	13:45:00	13.546
7/17/2010	14:15:00	13.425
7/17/2010	14:45:00	15.055
7/17/2010	15:15:00	16.201
7/17/2010	15:45:00	16.249
7/17/2010	16:15:00	15.748
7/17/2010	16:45:00	15.915
7/17/2010	17:15:00	16.177
7/17/2010	17:45:00	16.201
7/17/2010	18:15:00	16.344
7/17/2010	18:45:00	16.034
